latitude,longitude,chain,tractnum,ntanum
40.7281200027367,-74.0073239308904,Le Pain Quotidien,1686,121
40.7918,-73.97438,Le Pain Quotidien,1318,99
40.7658345482171,-73.9654347284287,Le Pain Quotidien,852,76
40.765318,-73.9573939,Le Pain Quotidien,1354,148
40.7570417595304,-73.963566910455,Le Pain Quotidien,930,21
40.7879733475342,-73.953396837652,Le Pain Quotidien,2037,77
40.70395,-74.01143,Le Pain Quotidien,1369,40
40.7570417595304,-73.963566910455,Le Pain Quotidien,930,21
40.732486,-73.996585,Le Pain Quotidien,940,105
40.774927,-73.9507894,Le Pain Quotidien,2001,72
40.7658345482171,-73.9654347284287,Le Pain Quotidien,852,76
40.776961,-73.978498,Le Pain Quotidien,2161,100
40.72636,-73.994995,Le Pain Quotidien,1162,105
40.765318,-73.9573939,Le Pain Quotidien,1354,148
40.776961,-73.978498,Le Pain Quotidien,2161,100
40.7658345482171,-73.9654347284287,Le Pain Quotidien,852,76
40.7918,-73.97438,Le Pain Quotidien,1318,99
40.774927,-73.9507894,Le Pain Quotidien,2001,72
40.70395,-74.01143,Le Pain Quotidien,1369,40
40.72636,-73.994995,Le Pain Quotidien,1162,105
40.732486,-73.996585,Le Pain Quotidien,940,105
40.7570417595304,-73.963566910455,Le Pain Quotidien,930,21
40.7663330471095,-73.979585697037,Le Pain Quotidien,1028,20
40.7546875,-73.9686787,Le Pain Quotidien,5,21
40.7411474251275,-74.0051997689034,Le Pain Quotidien,1078,104
40.760627,-73.981571,Le Pain Quotidien,1027,20
40.71138,-74.01611,Le Pain Quotidien,1580,40
40.735052,-74.005802,Le Pain Quotidien,1838,105
40.74651,-73.98107,Le Pain Quotidien,1293,82
40.7863344,-73.9762146,Le Pain Quotidien,1317,99
40.76491,-73.98349,Le Pain Quotidien,1028,20
40.7402742,-73.9894643,Le Pain Quotidien,769,104
40.7807622,-73.9546398,Le Pain Quotidien,19,76
40.7542102108724,-73.9788866043091,Le Pain Quotidien,1005,20
40.7603034973145,-73.9749755859375,Le Pain Quotidien,7,20
40.7150832563639,-74.0095067024231,Le Pain Quotidien,1998,121
40.7524299,-73.97378,Le Pain Quotidien,1006,21
40.7879733475342,-73.953396837652,Le Pain Quotidien,2037,77
40.7329292297363,-74.00048828125,The Vitamin Shoppe,1140,105
40.7777671813965,-73.9522323608398,The Vitamin Shoppe,16,72
40.728134,-73.99163,The Vitamin Shoppe,1163,105
40.74945,-73.983367,The Vitamin Shoppe,1429,82
40.7451857,-73.9987389,The Vitamin Shoppe,2078,104
40.741428,-73.994316,The Vitamin Shoppe,2076,104
40.751667,-73.99044,The Vitamin Shoppe,743,20
40.7299079297928,-73.992754436774,The Vitamin Shoppe,1163,105
40.735522,-73.9895732,The Vitamin Shoppe,2086,86
40.7399292,-73.9861221,The Vitamin Shoppe,2089,86
40.7645568847656,-73.9784698486328,The Vitamin Shoppe,1028,20
40.7585678100586,-73.968017578125,The Vitamin Shoppe,761,21
40.7679188,-73.9617369,The Vitamin Shoppe,1503,148
40.7783397,-73.9816343,The Vitamin Shoppe,2161,100
40.7918391,-73.972683,The Vitamin Shoppe,1318,99
40.8046099,-73.96704,The Vitamin Shoppe,2016,94
40.7777671813965,-73.9522323608398,The Vitamin Shoppe,16,72
40.8500623,-73.9351359,The Vitamin Shoppe,751,95
40.709796,-74.009727,The Vitamin Shoppe,850,40
40.765644,-73.984046,The Vitamin Shoppe,795,13
40.736969,-73.9975662,The Vitamin Shoppe,1140,105
40.7501069,-73.9747012,The Vitamin Shoppe,1133,21
40.7600136,-73.969986,The Vitamin Shoppe,6,21
40.772621,-73.952888,The Vitamin Shoppe,1550,72
40.70592,-74.0071,Au Bon Pain,1368,40
40.7583627104759,-73.9727832376957,Au Bon Pain,6,21
40.70534,-74.01163,Au Bon Pain,1369,40
40.7027347723634,-74.0132173889007,Au Bon Pain,1369,40
40.727814,-73.994308,Au Bon Pain,1162,105
40.7562523,-73.9906845,Au Bon Pain,1314,13
40.7508087,-73.9833374,Au Bon Pain,1702,20
40.7576981,-73.9759064,Au Bon Pain,7,20
40.7576981,-73.9759064,Au Bon Pain,7,20
40.7586899,-73.9823837,Au Bon Pain,745,20
40.71101,-74.00876,Au Bon Pain,1135,40
40.7347314,-73.9896729,Au Bon Pain,2086,86
40.730909781771,-73.9934440928,Au Bon Pain,768,105
40.7541733,-73.9788513,Au Bon Pain,1005,20
40.7636361,-73.9792338,Au Bon Pain,1028,20
40.736667,-73.992637,Au Bon Pain,1544,104
40.7510834,-73.9891281,Au Bon Pain,743,20
40.7603298150422,-73.981906190213,Au Bon Pain,745,20
40.7493515,-73.9759521,Au Bon Pain,1120,82
40.70534,-74.01163,Au Bon Pain,1369,40
40.757217,-73.969192,Au Bon Pain,5,21
40.727814,-73.994308,Au Bon Pain,1162,105
40.7504741,-73.9890787,Au Bon Pain,743,20
40.70592,-74.0071,Au Bon Pain,1368,40
40.764555,-73.999604,Au Bon Pain,1782,13
40.7510834,-73.9891281,Au Bon Pain,743,20
40.7387409376104,-73.9745648968201,Au Bon Pain,1257,82
40.7591286,-73.9795837,Au Bon Pain,8,20
40.7347314,-73.9896729,Au Bon Pain,2086,86
40.70534,-74.01163,Au Bon Pain,1369,40
40.75617679815,-73.9770476586387,Au Bon Pain,1005,20
40.7099304,-74.0065994,Au Bon Pain,1135,40
40.7096291,-74.0165863,Au Bon Pain,1580,40
40.7070500923129,-74.0059608461591,Au Bon Pain,850,40
40.7510834,-73.9891281,Au Bon Pain,743,20
40.7510834,-73.9891281,Au Bon Pain,743,20
40.7510834,-73.9891281,Au Bon Pain,743,20
40.7564223760822,-73.9905066666225,Au Bon Pain,1314,13
40.70592,-74.0071,Au Bon Pain,1368,40
